company_id,company_name,days_before_deactivation,link_to_policy,activities_to_avoid_deactivation
1,אינסטגרם,0,https://help.instagram.com/294919817276863/,
2,אפל ,365,https://www.apple.com/legal/internet-services/icloud/en/terms.html,
3,גוגל,730,https://support.google.com/accounts/answer/12418290?,
4,ווטסאפ,120,https://faq.whatsapp.com/828406668498455/?helpref=hc_fnav,
5,טוויטר / X,30 יום,https://help.twitter.com/en/rules-and-policies/inactive-x-accounts,
6,טיקטוק,180 יום,https://support.tiktok.com/he_IL/safety-hc/account-and-user-safety/inactive-account-policy,
7,טלגרם,180,https://telegram.org/faq#q-how-does-account-self-destruction-work,
8,מיקרוסופט,730,https://support.microsoft.com/en-au/office/accessing-outlook-com-onedrive-and-other-microsoft-services-when-someone-has-died-ebbd2860-917e-4b39-9913-212362da6b2f,
9,פייבוקס,365,,
10,פייסבוק,0,,
11,BOX,0,,
12,DropBox,365,https://help.dropbox.com/account-access/email-about-inactive-account,
13,Yahoo! + AOL,365,https://help.yahoo.com/kb/SLN2018.html,
14,בזק בינלאומי Tech,0,,
15,וואלה!,90,https://news.walla.co.il/item/3161211,